Series_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Gross
Full Metal Jacket,1987,UA,116 min,"Drama, War",8.3,46357676
Idi i smotri,1985,A,142 min,"Drama, Thriller, War",8.3,
Aliens,1986,U,137 min,"Action, Adventure, Sci-Fi",8.3,85160248
Amadeus,1984,R,160 min,"Biography, Drama, History",8.3,51973029
Scarface,1983,A,170 min,"Crime, Drama",8.3,45598982
Star Wars: Episode VI - Return of the Jedi,1983,U,131 min,"Action, Adventure, Fantasy",8.3,309125409
Das Boot,1981,R,149 min,"Adventure, Drama, Thriller",8.3,11487676
Taxi Driver,1976,A,114 min,"Crime, Drama",8.3,28262574
The Sting,1973,U,129 min,"Comedy, Crime, Drama",8.3,159600000
A Clockwork Orange,1971,A,136 min,"Crime, Drama, Sci-Fi",8.3,6207725
2001: A Space Odyssey,1968,U,149 min,"Adventure, Sci-Fi",8.3,56954992
Per qualche dollaro in più,1965,U,132 min,Western,8.3,15000000
Lawrence of Arabia,1962,U,228 min,"Adventure, Biography, Drama",8.3,44824144
The Apartment,1960,U,125 min,"Comedy, Drama, Romance",8.3,18600000
North by Northwest,1959,U,136 min,"Adventure, Mystery, Thriller",8.3,13275000
Vertigo,1958,A,128 min,"Mystery, Romance, Thriller",8.3,3200000
Singin' in the Rain,1952,G,103 min,"Comedy, Musical, Romance",8.3,8819028
Ikiru,1952,,143 min,Drama,8.3,55240
Ladri di biciclette,1948,,89 min,Drama,8.3,332930
Double Indemnity,1944,Passed,107 min,"Crime, Drama, Film-Noir",8.3,5720000
Citizen Kane,1941,UA,119 min,"Drama, Mystery",8.3,1585634
M - Eine Stadt sucht einen Mörder,1931,Passed,117 min,"Crime, Mystery, Thriller",8.3,28877
Metropolis,1927,,153 min,"Drama, Sci-Fi",8.3,1236166
The Kid,1921,Passed,68 min,"Comedy, Drama, Family",8.3,5450000
Chhichhore,2019,UA,143 min,"Comedy, Drama",8.2,898575
Uri: The Surgical Strike,2018,UA,138 min,"Action, Drama, War",8.2,4186168
K.G.F: Chapter 1,2018,UA,156 min,"Action, Drama",8.2,
Green Book,2018,UA,130 min,"Biography, Comedy, Drama",8.2,85080171
"Three Billboards Outside Ebbing, Missouri",2017,A,115 min,"Comedy, Crime, Drama",8.2,54513740
Talvar,2015,UA,132 min,"Crime, Drama, Mystery",8.2,342370
Baahubali 2: The Conclusion,2017,UA,167 min,"Action, Drama",8.2,20186659
Klaus,2019,PG,96 min,"Animation, Adventure, Comedy",8.2,
Drishyam,2015,UA,163 min,"Crime, Drama, Mystery",8.2,739478
Queen,2013,UA,146 min,"Adventure, Comedy, Drama",8.2,1429534
Mandariinid,2013,,87 min,"Drama, War",8.2,144501
Bhaag Milkha Bhaag,2013,U,186 min,"Biography, Drama, Sport",8.2,1626289
Gangs of Wasseypur,2012,A,321 min,"Action, Comedy, Crime",8.2,
Udaan,2010,UA,134 min,Drama,8.2,7461
Paan Singh Tomar,2012,UA,135 min,"Action, Biography, Crime",8.2,39567
El secreto de sus ojos,2009,R,129 min,"Drama, Mystery, Romance",8.2,6391436
Warrior,2011,UA,140 min,"Action, Drama, Sport",8.2,13657115
Shutter Island,2010,A,138 min,"Mystery, Thriller",8.2,128012934
Up,2009,U,96 min,"Animation, Adventure, Comedy",8.2,293004164
The Wolf of Wall Street,2013,A,180 min,"Biography, Crime, Drama",8.2,116900694
Chak De! India,2007,U,153 min,"Drama, Family, Sport",8.2,1113541
There Will Be Blood,2007,A,158 min,Drama,8.2,40222514
Pan's Labyrinth,2006,UA,118 min,"Drama, Fantasy, War",8.2,37634615
Toy Story 3,2010,U,103 min,"Animation, Adventure, Comedy",8.2,415004880
V for Vendetta,2005,A,132 min,"Action, Drama, Sci-Fi",8.2,70511035
Rang De Basanti,2006,UA,167 min,"Comedy, Crime, Drama",8.2,2197331
Black,2005,U,122 min,Drama,8.2,733094
Batman Begins,2005,UA,140 min,"Action, Adventure",8.2,206852432
"Swades: We, the People",2004,U,210 min,Drama,8.2,1223240
Der Untergang,2004,R,156 min,"Biography, Drama, History",8.2,5509040
Hauru no ugoku shiro,2004,U,119 min,"Animation, Adventure, Family",8.2,4711096
A Beautiful Mind,2001,UA,135 min,"Biography, Drama",8.2,170742341
Hera Pheri,2000,U,156 min,"Action, Comedy, Crime",8.2,
"Lock, Stock and Two Smoking Barrels",1998,A,107 min,"Action, Comedy, Crime",8.2,3897569
L.A. Confidential,1997,A,138 min,"Crime, Drama, Mystery",8.2,64616940
Eskiya,1996,,128 min,"Crime, Drama, Thriller",8.2,
Heat,1995,A,170 min,"Crime, Drama, Thriller",8.2,67436818
Casino,1995,A,178 min,"Crime, Drama",8.2,42438300
Andaz Apna Apna,1994,U,160 min,"Action, Comedy, Romance",8.2,
Unforgiven,1992,A,130 min,"Drama, Western",8.2,101157447
Indiana Jones and the Last Crusade,1989,U,127 min,"Action, Adventure",8.2,197171806
Dom za vesanje,1988,R,142 min,"Comedy, Crime, Drama",8.2,280015
Tonari no Totoro,1988,U,86 min,"Animation, Family, Fantasy",8.2,1105564
Die Hard,1988,A,132 min,"Action, Thriller",8.2,83008852
Ran,1985,U,162 min,"Action, Drama, War",8.2,4135750
Raging Bull,1980,A,129 min,"Biography, Drama, Sport",8.2,23383987
Stalker,1979,U,162 min,"Drama, Sci-Fi",8.2,234723
Höstsonaten,1978,U,99 min,"Drama, Music",8.2,
The Message,1976,PG,177 min,"Biography, Drama, History",8.2,
Sholay,1975,U,204 min,"Action, Adventure, Comedy",8.2,
Monty Python and the Holy Grail,1975,PG,91 min,"Adventure, Comedy, Fantasy",8.2,1229197
The Great Escape,1963,U,172 min,"Adventure, Drama, History",8.2,12100000
To Kill a Mockingbird,1962,U,129 min,"Crime, Drama",8.2,
Yôjinbô,1961,,110 min,"Action, Drama, Thriller",8.2,
Judgment at Nuremberg,1961,A,179 min,"Drama, War",8.2,
Some Like It Hot,1959,U,121 min,"Comedy, Music, Romance",8.2,25000000
Smultronstället,1957,U,91 min,"Drama, Romance",8.2,
Det sjunde inseglet,1957,A,96 min,"Drama, Fantasy, History",8.2,
Du rififi chez les hommes,1955,,118 min,"Crime, Drama, Thriller",8.2,57226
Dial M for Murder,1954,A,105 min,"Crime, Thriller",8.2,12562
Tôkyô monogatari,1953,U,136 min,Drama,8.2,
Rashômon,1950,,88 min,"Crime, Drama, Mystery",8.2,96568
All About Eve,1950,Passed,138 min,Drama,8.2,10177
The Treasure of the Sierra Madre,1948,Passed,126 min,"Adventure, Drama, Western",8.2,5014000
To Be or Not to Be,1942,Passed,99 min,"Comedy, War",8.2,
The Gold Rush,1925,Passed,95 min,"Adventure, Comedy, Drama",8.2,5450000
Sherlock Jr.,1924,Passed,45 min,"Action, Comedy, Romance",8.2,977375
Portrait de la jeune fille en feu,2019,R,122 min,"Drama, Romance",8.1,3759854
Pink,2016,UA,136 min,"Drama, Thriller",8.1,1241223
Koe no katachi,2016,16,130 min,"Animation, Drama, Family",8.1,
Contratiempo,2016,TV-MA,106 min,"Crime, Drama, Mystery",8.1,
Ah-ga-ssi,2016,A,145 min,"Drama, Romance, Thriller",8.1,2006788
Mommy,2014,R,139 min,Drama,8.1,3492754
Haider,2014,UA,160 min,"Action, Crime, Drama",8.1,901610
Logan,2017,A,137 min,"Action, Drama, Sci-Fi",8.1,226277068
Room,2015,R,118 min,"Drama, Thriller",8.1,14677674
Relatos salvajes,2014,R,122 min,"Comedy, Drama, Thriller",8.1,3107072
Soul,2020,U,100 min,"Animation, Adventure, Comedy",8.1,
Kis Uykusu,2014,,196 min,Drama,8.1,165520
PK,2014,UA,153 min,"Comedy, Drama, Musical",8.1,10616104
OMG: Oh My God!,2012,U,125 min,"Comedy, Drama, Fantasy",8.1,923221
The Grand Budapest Hotel,2014,UA,99 min,"Adventure, Comedy, Crime",8.1,59100318
Gone Girl,2014,A,149 min,"Drama, Mystery, Thriller",8.1,167767189
Ôkami kodomo no Ame to Yuki,2012,U,117 min,"Animation, Drama, Fantasy",8.1,
Hacksaw Ridge,2016,A,139 min,"Biography, Drama, History",8.1,67209615
Inside Out,2015,U,95 min,"Animation, Adventure, Comedy",8.1,356461711
Barfi!,2012,U,151 min,"Comedy, Drama, Romance",8.1,2804874
12 Years a Slave,2013,A,134 min,"Biography, Drama, History",8.1,56671993
Rush,2013,UA,123 min,"Action, Biography, Drama",8.1,26947624
Ford v Ferrari,2019,UA,152 min,"Action, Biography, Drama",8.1,117624028
Spotlight,2015,A,129 min,"Biography, Crime, Drama",8.1,45055776
Song of the Sea,2014,PG,93 min,"Animation, Adventure, Drama",8.1,857524
Kahaani,2012,UA,122 min,"Mystery, Thriller",8.1,1035953
Zindagi Na Milegi Dobara,2011,U,155 min,"Comedy, Drama",8.1,3108485
Prisoners,2013,A,153 min,"Crime, Drama, Mystery",8.1,61002302
Mad Max: Fury Road,2015,UA,120 min,"Action, Adventure, Sci-Fi",8.1,154058340
A Wednesday,2008,UA,104 min,"Action, Crime, Drama",8.1,
Gran Torino,2008,R,116 min,Drama,8.1,148095302
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130 min,"Adventure, Drama, Fantasy",8.1,381011219
Okuribito,2008,PG-13,130 min,"Drama, Music",8.1,1498210
Hachi: A Dog's Tale,2009,G,93 min,"Biography, Drama, Family",8.1,
Mary and Max,2009,,92 min,"Animation, Comedy, Drama",8.1,
How to Train Your Dragon,2010,U,98 min,"Animation, Action, Adventure",8.1,217581231
Into the Wild,2007,R,148 min,"Adventure, Biography, Drama",8.1,18354356
No Country for Old Men,2007,R,122 min,"Crime, Drama, Thriller",8.1,74283625
Lage Raho Munna Bhai,2006,U,144 min,"Comedy, Drama, Romance",8.1,2217561
Million Dollar Baby,2004,UA,132 min,"Drama, Sport",8.1,100492203
Hotel Rwanda,2004,PG-13,121 min,"Biography, Drama, History",8.1,23530892
Taegukgi hwinalrimyeo,2004,R,140 min,"Action, Drama, War",8.1,1111061
Before Sunset,2004,R,80 min,"Drama, Romance",8.1,5820649
Munna Bhai M.B.B.S.,2003,U,156 min,"Comedy, Drama, Musical",8.1,
Salinui chueok,2003,UA,131 min,"Crime, Drama, Mystery",8.1,14131
Dil Chahta Hai,2001,Unrated,183 min,"Comedy, Drama, Romance",8.1,300000
Kill Bill: Vol. 1,2003,R,111 min,"Action, Crime, Drama",8.1,70099045
Finding Nemo,2003,U,100 min,"Animation, Adventure, Comedy",8.1,380843261
Catch Me If You Can,2002,A,141 min,"Biography, Crime, Drama",8.1,164615351
Amores perros,2000,A,154 min,"Drama, Thriller",8.1,5383834
"Monsters, Inc.",2001,U,92 min,"Animation, Adventure, Comedy",8.1,289916256
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,UA,87 min,"Animation, Action, Drama",8.1,
Lagaan: Once Upon a Time in India,2001,U,224 min,"Adventure, Drama, Musical",8.1,70147
The Sixth Sense,1999,A,107 min,"Drama, Mystery, Thriller",8.1,293506292
La leggenda del pianista sull'oceano,1998,U,169 min,"Drama, Music, Romance",8.1,259127
The Truman Show,1998,U,103 min,"Comedy, Drama",8.1,125618201
"Crna macka, beli macor",1998,R,127 min,"Comedy, Crime, Romance",8.1,348660
The Big Lebowski,1998,R,117 min,"Comedy, Crime, Sport",8.1,17498804
Fa yeung nin wah,2000,U,98 min,"Drama, Romance",8.1,2734044
Trainspotting,1996,A,93 min,Drama,8.1,16501785
Fargo,1996,A,98 min,"Crime, Drama, Thriller",8.1,24611975
Underground,1995,,170 min,"Comedy, Drama, War",8.1,171082
La haine,1995,UA,98 min,"Crime, Drama",8.1,309811
Dilwale Dulhania Le Jayenge,1995,U,189 min,"Drama, Romance",8.1,
Before Sunrise,1995,R,101 min,"Drama, Romance",8.1,5535405
Trois couleurs: Rouge,1994,U,99 min,"Drama, Mystery, Romance",8.1,4043686
Chung Hing sam lam,1994,U,102 min,"Comedy, Crime, Drama",8.1,600200
Jurassic Park,1993,UA,127 min,"Action, Adventure, Sci-Fi",8.1,402453882
In the Name of the Father,1993,UA,133 min,"Biography, Crime, Drama",8.1,25010410
Ba wang bie ji,1993,R,171 min,"Drama, Music, Romance",8.1,5216888
Dà hóng denglong gaogao guà,1991,PG,125 min,"Drama, History, Romance",8.1,2603061
Dead Poets Society,1989,U,128 min,"Comedy, Drama",8.1,95860116
Stand by Me,1986,U,89 min,"Adventure, Drama",8.1,52287414
Platoon,1986,A,120 min,"Drama, War",8.1,138530565
"Paris, Texas",1984,U,145 min,Drama,8.1,2181987
Kaze no tani no Naushika,1984,U,117 min,"Animation, Adventure, Fantasy",8.1,495770
The Thing,1982,A,109 min,"Horror, Mystery, Sci-Fi",8.1,13782838
Pink Floyd: The Wall,1982,UA,95 min,"Drama, Fantasy, Music",8.1,22244207
Fitzcarraldo,1982,R,158 min,"Adventure, Drama",8.1,
Fanny och Alexander,1982,A,188 min,Drama,8.1,4971340
Blade Runner,1982,UA,117 min,"Action, Sci-Fi, Thriller",8.1,32868943
The Elephant Man,1980,UA,124 min,"Biography, Drama",8.1,
Life of Brian,1979,R,94 min,Comedy,8.1,20045115
The Deer Hunter,1978,A,183 min,"Drama, War",8.1,48979328
Rocky,1976,U,120 min,"Drama, Sport",8.1,117235247
Network,1976,UA,121 min,Drama,8.1,
Barry Lyndon,1975,PG,185 min,"Adventure, Drama, History",8.1,
Zerkalo,1975,G,107 min,"Biography, Drama",8.1,177345
Chinatown,1974,UA,130 min,"Drama, Mystery, Thriller",8.1,29000000
Paper Moon,1973,U,102 min,"Comedy, Crime, Drama",8.1,30933743
Viskningar och rop,1972,A,91 min,Drama,8.1,1742348
Solaris,1972,PG,167 min,"Drama, Mystery, Sci-Fi",8.1,
Le samouraï,1967,GP,105 min,"Crime, Drama, Mystery",8.1,39481
Cool Hand Luke,1967,A,127 min,"Crime, Drama",8.1,16217773
Persona,1966,,85 min,"Drama, Thriller",8.1,
Andrei Rublev,1966,R,205 min,"Biography, Drama, History",8.1,102021
La battaglia di Algeri,1966,,121 min,"Drama, War",8.1,55908
El ángel exterminador,1962,,95 min,"Drama, Fantasy",8.1,
What Ever Happened to Baby Jane?,1962,Passed,134 min,"Drama, Horror, Thriller",8.1,4050000
Sanjuro,1962,U,96 min,"Action, Comedy, Crime",8.1,
The Man Who Shot Liberty Valance,1962,,123 min,"Drama, Western",8.1,
Ivanovo detstvo,1962,,95 min,"Drama, War",8.1,
Jungfrukällan,1960,A,89 min,Drama,8.1,1526000
Inherit the Wind,1960,Passed,128 min,"Biography, Drama, History",8.1,
Les quatre cents coups,1959,,99 min,"Crime, Drama",8.1,
Ben-Hur,1959,U,212 min,"Adventure, Drama, History",8.1,74700000
Kakushi-toride no san-akunin,1958,,139 min,"Adventure, Drama",8.1,
Le notti di Cabiria,1957,,110 min,Drama,8.1,752045
Kumonosu-jô,1957,,110 min,"Drama, History",8.1,
The Bridge on the River Kwai,1957,PG,161 min,"Adventure, Drama, War",8.1,44908000
On the Waterfront,1954,A,108 min,"Crime, Drama, Thriller",8.1,9600000
Le salaire de la peur,1953,U,131 min,"Adventure, Drama, Thriller",8.1,
Ace in the Hole,1951,Approved,111 min,"Drama, Film-Noir",8.1,3969893
White Heat,1949,,114 min,"Action, Crime, Drama",8.1,
The Third Man,1949,Approved,104 min,"Film-Noir, Mystery, Thriller",8.1,449191
The Red Shoes,1948,,135 min,"Drama, Music, Romance",8.1,10900000
The Shop Around the Corner,1940,,99 min,"Comedy, Drama, Romance",8.1,203300
Rebecca,1940,Approved,130 min,"Drama, Mystery, Romance",8.1,4360000
Mr. Smith Goes to Washington,1939,Passed,129 min,"Comedy, Drama",8.1,9600000
Gone with the Wind,1939,U,238 min,"Drama, History, Romance",8.1,198676459
La Grande Illusion,1937,,113 min,"Drama, War",8.1,172885
It Happened One Night,1934,Approved,105 min,"Comedy, Romance",8.1,4360000
La passion de Jeanne d'Arc,1928,Passed,110 min,"Biography, Drama, History",8.1,21877
The Circus,1928,Passed,72 min,"Comedy, Romance",8.1,
Sunrise: A Song of Two Humans,1927,Passed,94 min,"Drama, Romance",8.1,539540
The General,1926,Passed,67 min,"Action, Adventure, Comedy",8.1,1033895
Das Cabinet des Dr. Caligari,1920,,76 min,"Fantasy, Horror, Mystery",8.1,
Badhaai ho,2018,UA,124 min,"Comedy, Drama",8,
Togo,2019,U,113 min,"Adventure, Biography, Drama",8,
Airlift,2016,UA,130 min,"Drama, History",8,
Bajrangi Bhaijaan,2015,UA,163 min,"Action, Adventure, Comedy",8,8178001
Baby,2015,UA,159 min,"Action, Crime, Thriller",8,
La La Land,2016,A,128 min,"Comedy, Drama, Music",8,151101803
Lion,2016,U,118 min,"Biography, Drama",8,51739495
The Martian,2015,UA,144 min,"Adventure, Drama, Sci-Fi",8,228433663
Zootopia,2016,U,108 min,"Animation, Adventure, Comedy",8,341268248
Bãhubali: The Beginning,2015,UA,159 min,"Action, Drama",8,6738000
Kaguyahime no monogatari,2013,U,137 min,"Animation, Adventure, Drama",8,1506975
Wonder,2017,U,113 min,"Drama, Family",8,132422809
Gully Boy,2019,UA,154 min,"Drama, Music, Romance",8,5566534
Special Chabbis,2013,UA,144 min,"Crime, Drama, Thriller",8,1079369
Short Term 12,2013,R,96 min,Drama,8,1010414
Serbuan maut 2: Berandal,2014,A,150 min,"Action, Crime, Thriller",8,2625803
The Imitation Game,2014,UA,114 min,"Biography, Drama, Thriller",8,91125683
Guardians of the Galaxy,2014,UA,121 min,"Action, Adventure, Comedy",8,333176600
Blade Runner 2049,2017,UA,164 min,"Action, Drama, Mystery",8,92054159
Her,2013,A,126 min,"Drama, Romance, Sci-Fi",8,25568251
Bohemian Rhapsody,2018,UA,134 min,"Biography, Drama, Music",8,216428042
The Revenant,2015,A,156 min,"Action, Adventure, Drama",8,183637894
The Perks of Being a Wallflower,2012,UA,103 min,"Drama, Romance",8,17738570
Tropa de Elite 2: O Inimigo Agora é Outro,2010,,115 min,"Action, Crime, Drama",8,100119
The King's Speech,2010,U,118 min,"Biography, Drama, History",8,138797449
The Help,2011,UA,146 min,Drama,8,169708112
Deadpool,2016,R,108 min,"Action, Adventure, Comedy",8,363070709
Darbareye Elly,2009,TV-PG,119 min,"Drama, Mystery",8,106662
Dev.D,2009,A,144 min,"Drama, Romance",8,10950
Yip Man,2008,R,106 min,"Action, Biography, Drama",8,
My Name Is Khan,2010,UA,165 min,Drama,8,4018695
Nefes: Vatan Sagolsun,2009,,128 min,"Action, Drama, Thriller",8,
Slumdog Millionaire,2008,UA,120 min,"Drama, Romance",8,141319928
Black Swan,2010,A,108 min,"Drama, Thriller",8,106954678
Tropa de Elite,2007,R,115 min,"Action, Crime, Drama",8,8060
The Avengers,2012,UA,143 min,"Action, Adventure, Sci-Fi",8,623279547
Persepolis,2007,PG-13,96 min,"Animation, Biography, Drama",8,4445756
Dallas Buyers Club,2013,R,117 min,"Biography, Drama",8,27298285
The Pursuit of Happyness,2006,U,117 min,"Biography, Drama",8,163566459
Blood Diamond,2006,A,143 min,"Adventure, Drama, Thriller",8,57366262
The Bourne Ultimatum,2007,UA,115 min,"Action, Mystery, Thriller",8,227471070
Bin-jip,2004,U,88 min,"Crime, Drama, Romance",8,238507
Sin City,2005,A,124 min,"Crime, Thriller",8,74103820
Le scaphandre et le papillon,2007,PG-13,112 min,"Biography, Drama",8,5990075
G.O.R.A.,2004,,127 min,"Adventure, Comedy, Sci-Fi",8,
Ratatouille,2007,U,111 min,"Animation, Adventure, Comedy",8,206445654
Casino Royale,2006,PG-13,144 min,"Action, Adventure, Thriller",8,167445960
Kill Bill: Vol. 2,2004,A,137 min,"Action, Crime, Thriller",8,66208183
Vozvrashchenie,2003,,110 min,Drama,8,502028
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103 min,"Drama, Romance",8,2380788
Mar adentro,2014,U,126 min,"Biography, Drama",8,2086345
Cinderella Man,2005,UA,144 min,"Biography, Drama, History",8,61649911
Kal Ho Naa Ho,2003,U,186 min,"Comedy, Drama, Musical",8,1787378
Mou gaan dou,2002,UA,101 min,"Action, Crime, Drama",8,169659
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143 min,"Action, Adventure, Fantasy",8,305413918
Big Fish,2003,U,125 min,"Adventure, Drama, Fantasy",8,66257002
The Incredibles,2004,U,115 min,"Animation, Action, Adventure",8,261441092
Yeopgijeogin geunyeo,2001,,137 min,"Comedy, Drama, Romance",8,
Dogville,2003,R,178 min,"Crime, Drama",8,1530386
Vizontele,2001,,110 min,"Comedy, Drama",8,
Donnie Darko,2001,R,113 min,"Drama, Mystery, Sci-Fi",8,1480006
Magnolia,1999,R,188 min,Drama,8,22455976
Dancer in the Dark,2000,U,140 min,"Crime, Drama, Musical",8,4184036
The Straight Story,1999,U,112 min,"Biography, Drama",8,6203044
Pâfekuto burû,1997,A,81 min,"Animation, Crime, Mystery",8,776665
Festen,1998,R,105 min,Drama,8,1647780
Central do Brasil,1998,R,110 min,Drama,8,5595428
The Iron Giant,1999,PG,86 min,"Animation, Action, Adventure",8,23159305
Knockin' on Heaven's Door,1997,,87 min,"Action, Crime, Comedy",8,3296
Sling Blade,1996,R,135 min,Drama,8,24475416
Secrets & Lies,1996,U,136 min,"Comedy, Drama",8,13417292
Twelve Monkeys,1995,A,129 min,"Mystery, Sci-Fi, Thriller",8,57141459
Kôkaku Kidôtai,1995,UA,83 min,"Animation, Action, Crime",8,515905
The Nightmare Before Christmas,1993,U,76 min,"Animation, Family, Fantasy",8,75082668
Groundhog Day,1993,U,101 min,"Comedy, Fantasy, Romance",8,70906973
Bound by Honor,1993,R,180 min,"Crime, Drama",8,4496583
Scent of a Woman,1992,UA,156 min,Drama,8,63895607
Aladdin,1992,U,90 min,"Animation, Adventure, Comedy",8,217350219
JFK,1991,UA,189 min,"Drama, History, Thriller",8,70405498
Beauty and the Beast,1991,G,84 min,"Animation, Family, Fantasy",8,218967620
Dances with Wolves,1990,U,181 min,"Adventure, Drama, Western",8,184208848
Do the Right Thing,1989,R,120 min,"Comedy, Drama",8,27545445
Rain Man,1988,U,133 min,Drama,8,178800000
Akira,1988,UA,124 min,"Animation, Action, Sci-Fi",8,553171
The Princess Bride,1987,U,98 min,"Adventure, Family, Fantasy",8,30857814
Der Himmel über Berlin,1987,U,128 min,"Drama, Fantasy, Romance",8,3333969
Au revoir les enfants,1987,U,104 min,"Drama, War",8,4542825
Tenkû no shiro Rapyuta,1986,U,125 min,"Animation, Adventure, Drama",8,
The Terminator,1984,UA,107 min,"Action, Sci-Fi",8,38400000
Gandhi,1982,U,191 min,"Biography, Drama, History",8,52767889
Kagemusha,1980,U,180 min,"Drama, History, War",8,
Being There,1979,PG,130 min,"Comedy, Drama",8,30177511
Annie Hall,1977,A,93 min,"Comedy, Romance",8,39200000
Jaws,1975,A,124 min,"Adventure, Thriller",8,260000000
Dog Day Afternoon,1975,U,125 min,"Biography, Crime, Drama",8,50000000
Young Frankenstein,1974,A,106 min,Comedy,8,86300000
Papillon,1973,R,151 min,"Biography, Crime, Drama",8,53267000
The Exorcist,1973,A,122 min,Horror,8,232906145
Sleuth,1972,PG,138 min,"Mystery, Thriller",8,4081254
The Last Picture Show,1971,R,118 min,"Drama, Romance",8,29133000
Fiddler on the Roof,1971,G,181 min,"Drama, Family, Musical",8,80500000
Il conformista,1970,UA,113 min,Drama,8,541940
Butch Cassidy and the Sundance Kid,1969,PG,110 min,"Biography, Crime, Drama",8,102308889
Rosemary's Baby,1968,A,137 min,"Drama, Horror",8,
Planet of the Apes,1968,U,112 min,"Adventure, Sci-Fi",8,33395426
The Graduate,1967,A,106 min,"Comedy, Drama, Romance",8,104945305
Who's Afraid of Virginia Woolf?,1966,A,131 min,Drama,8,
The Sound of Music,1965,U,172 min,"Biography, Drama, Family",8,163214286
Doctor Zhivago,1965,A,197 min,"Drama, Romance, War",8,111722000
Per un pugno di dollari,1964,A,99 min,"Action, Drama, Western",8,14500000
8½,1963,,138 min,Drama,8,50690
Vivre sa vie: Film en douze tableaux,1962,,80 min,Drama,8,
The Hustler,1961,A,134 min,"Drama, Sport",8,8284000
La dolce vita,1960,A,174 min,"Comedy, Drama",8,19516000
Rio Bravo,1959,Passed,141 min,"Action, Drama, Western",8,12535000
Anatomy of a Murder,1959,,161 min,"Crime, Drama, Mystery",8,11900000
Touch of Evil,1958,PG-13,95 min,"Crime, Drama, Film-Noir",8,2237659
Cat on a Hot Tin Roof,1958,A,108 min,Drama,8,17570324
Sweet Smell of Success,1957,Approved,96 min,"Drama, Film-Noir",8,
The Killing,1956,Approved,84 min,"Crime, Drama, Film-Noir",8,
The Night of the Hunter,1955,,92 min,"Crime, Drama, Film-Noir",8,654000
La Strada,1954,,108 min,Drama,8,
Les diaboliques,1955,,117 min,"Crime, Drama, Horror",8,
Stalag 17,1953,,120 min,"Comedy, Drama, War",8,
Roman Holiday,1953,,118 min,"Comedy, Romance",8,
A Streetcar Named Desire,1951,A,122 min,Drama,8,8000000
In a Lonely Place,1950,,94 min,"Drama, Film-Noir, Mystery",8,
Kind Hearts and Coronets,1949,U,106 min,"Comedy, Crime",8,
Rope,1948,A,80 min,"Crime, Drama, Mystery",8,
Out of the Past,1947,,97 min,"Crime, Drama, Film-Noir",8,
Brief Encounter,1945,U,86 min,"Drama, Romance",8,
Laura,1944,Passed,88 min,"Drama, Film-Noir, Mystery",8,4360000
The Best Years of Our Lives,1946,Approved,170 min,"Drama, Romance, War",8,23650000
Arsenic and Old Lace,1942,,118 min,"Comedy, Crime, Thriller",8,
The Maltese Falcon,1941,,100 min,"Film-Noir, Mystery",8,2108060
The Grapes of Wrath,1940,Passed,129 min,"Drama, History",8,55000
The Wizard of Oz,1939,U,102 min,"Adventure, Family, Fantasy",8,2076020
La règle du jeu,1939,,110 min,"Comedy, Drama",8,
The Thin Man,1934,TV-PG,91 min,"Comedy, Crime, Mystery",8,
All Quiet on the Western Front,1930,U,152 min,"Drama, War",8,3270000
Bronenosets Potemkin,1925,,75 min,"Drama, History, Thriller",8,50970
Knives Out,2019,UA,130 min,"Comedy, Crime, Drama",7.9,165359751
Dil Bechara,2020,UA,101 min,"Comedy, Drama, Romance",7.9,
Manbiki kazoku,2018,A,121 min,"Crime, Drama",7.9,3313513
Marriage Story,2019,U,137 min,"Comedy, Drama, Romance",7.9,2000000
Call Me by Your Name,2017,UA,132 min,"Drama, Romance",7.9,18095701
"I, Daniel Blake",2016,UA,100 min,Drama,7.9,258168
Isle of Dogs,2018,U,101 min,"Animation, Adventure, Comedy",7.9,32015231
Hunt for the Wilderpeople,2016,UA,101 min,"Adventure, Comedy, Drama",7.9,5202582
Captain Fantastic,2016,R,118 min,"Comedy, Drama",7.9,5875006
Sing Street,2016,PG-13,106 min,"Comedy, Drama, Music",7.9,3237118
Thor: Ragnarok,2017,UA,130 min,"Action, Adventure, Comedy",7.9,315058289
Nightcrawler,2014,A,117 min,"Crime, Drama, Thriller",7.9,32381218
Jojo Rabbit,2019,UA,108 min,"Comedy, Drama, War",7.9,349555
Arrival,2016,UA,116 min,"Drama, Sci-Fi",7.9,100546139
Star Wars: Episode VII - The Force Awakens,2015,U,138 min,"Action, Adventure, Sci-Fi",7.9,936662225
Before Midnight,2013,R,109 min,"Drama, Romance",7.9,8114627
X-Men: Days of Future Past,2014,UA,132 min,"Action, Adventure, Sci-Fi",7.9,233921534
Bir Zamanlar Anadolu'da,2011,,157 min,"Crime, Drama",7.9,138730
The Artist,2011,U,100 min,"Comedy, Drama, Romance",7.9,44671682
Edge of Tomorrow,2014,UA,113 min,"Action, Adventure, Sci-Fi",7.9,100206256
Amour,2012,UA,127 min,"Drama, Romance",7.9,6739492
The Irishman,2019,R,209 min,"Biography, Crime, Drama",7.9,7000000
Un prophète,2009,A,155 min,"Crime, Drama",7.9,2084637
